community_district,year.x,price_single_family_home,price_condominium,single_family_sale_volume,condominium_sale_volume,percent_public_housing,serious_crime,english_scores,math_scores,subway_access,park_access,code,code_prefix,code2,code_suffix,code3,cd_short_title,lots_parking,acres,area_sqmi,borocd,cd_tot_bldgs,cd_tot_resunits,count_hosp_clinic,count_libraries,count_parks,count_public_schools,crime_count,crime_count_boro,crime_count_nyc,crime_per_1000,crime_per_1000_boro,crime_per_1000_nyc,female_10_14,female_15_19,female_20_24,female_25_29,female_30_34,female_35_39,female_40_44,female_45_49,female_5_9,female_50_54,female_55_59,female_60_64,female_65_69,female_70_74,female_75_79,female_80_84,female_85_over,female_under_5,fp_100_area,fp_100_bldg,fp_100_cost_burden,fp_100_cost_burden_value,fp_100_mhhi,fp_100_mortg_value,fp_100_openspace,fp_100_ownerocc,fp_100_ownerocc_value,fp_100_permortg,fp_100_pop,fp_100_rent_burden,fp_100_rent_burden_value,fp_100_resunits,fp_500_area,fp_500_bldg,fp_500_cost_burden,fp_500_cost_burden_value,fp_500_mhhi,fp_500_mortg_value,fp_500_openspace,fp_500_ownerocc,fp_500_ownerocc_value,fp_500_permortg,fp_500_pop,fp_500_rent_burden,fp_500_rent_burden_value,fp_500_resunits,lep_rate,lep_rate_boro,lep_rate_nyc,lot_area_commercial_office,lot_area_industrial_manufacturing,lot_area_mixed_use,lot_area_open_space,lot_area_other_no_data,lot_area_parking,lot_area_public_facility_institution,lot_area_res_1_2_family_bldg,lot_area_res_multifamily_elevator,lot_area_res_multifamily_walkup,lot_area_transportation_utility,lot_area_vacant,lots_commercial_office,lots_industrial_manufacturing,lots_mixed_use,lots_open_space,lots_other_no_data,cartodb_id,lots_public_facility_institution,lots_res_1_2_family_bldg,lots_res_multifamily_elevator,lots_res_multifamily_walkup,lots_total,lots_transportation_utility,lots_vacant,male_10_14,male_15_19,male_20_24,male_25_29,male_30_34,male_35_39,male_40_44,male_45_49,male_5_9,male_50_54,male_55_59,male_60_64,male_65_69,male_70_74,male_75_79,male_80_84,male_85_over,male_under_5,mean_commute,mean_commute_boro,mean_commute_nyc,neighborhoods,over65_rate,over65_rate_boro,over65_rate_nyc,pct_asian_nh,pct_bach_deg,pct_bach_deg_boro,pct_bach_deg_nyc,pct_black_nh,pct_clean_strts,pct_clean_strts_boro,pct_clean_strts_nyc,pct_foreign_born,pct_hh_rent_burd,pct_hh_rent_burd_boro,pct_hh_rent_burd_nyc,pct_hispanic,pct_other_nh,pct_served_parks,pct_white_nh,pop_2000,pop_2010,pop_acs,pop_change_00_10,poverty_rate.x,poverty_rate_boro,poverty_rate_nyc,puma,shared_puma,shared_puma_cd,son_issue_1,son_issue_2,son_issue_3,total_lot_area,under18_rate,under18_rate_boro,under18_rate_nyc,unemployment_boro,unemployment_cd,unemployment_nyc,num,cd_let,cd_lett,total_lowinc,ownshare,total_units,lowshare,sub_borough_area,year.y,homeowner_income,renter_income,poverty_rate.y,population,home_ownership_rate,fha_va_backed_loans,lmi_borrowers,housing_units,rent_burden,choice_vouchers,percent_asian,percent_black,percent_hispanic,percent_white
QN 11 - Bayside/Little Neck,2017,884553.806,585965.9429,461,69,0,6.34710687,0.729050279,0.778185151,0.205450734,0.686582809,QN11,QN,4,11,411,Queens CD 11,123,5991.9,9.4,411,39082,44838,11,5,21,31,746,19371,96515,7.047723,9.1,11.8,2.4,2.3,2.4,3.2,3.2,3.3,3.6,3.3,2.3,4.3,4.2,3.8,3.2,2.3,1.8,1.2,2.2,2.5,0.62,360,0.384982935,564,52000,760,0.471,0.659019343,1465,0.518771331,1285,0.498333333,299,383,1.09,494,0.396204715,689,52000,950,0.683,0.696435723,1739,0.546290972,1477,0.498333333,299,525,31.4,29.3,23.1,5307452,353246,1610150,37504399,153859,688742,9157035,98398179,2993669,18790434,600639,5119609,412,11,375,128,11,53,171,23035,22,955,25803,62,498,2.8,2.4,2.5,3.3,2.9,3.4,3.1,3.2,2.7,3.7,3.6,3.4,3.1,2.1,1.3,1,1.2,2.8,43.4,43.5,40.8,"Auburndale, Bayside, Douglaston, Hollis Hills, Little Neck, Oakland Gardens",19.5,14.3,13.6,44,42.1,30.8,36.7,1.9,99.1,96.5,95.1,42.9,43.6,46.8,44.5,11.5,2.4,71,40.5,116404,116431,121139,0,14.1,19.3,19.8,4104,FALSE,NA,Parks,"Quality of life issues (noise, graffiti, petty crime, etc.)",Street conditions (roadway maintenance),180677413,18.6,20.2,21,4.4,3.2,4.9,11,Queens ,QN,9,1,10,0.9,Bayside/Little Neck,2017,79222.59549,55813.51083,0.0975641,118670,0.729622,0.002314815,0.001157407,44245,0.39,0,0.459847,0.0248336,0.123831,0.375074
QN 12 - Jamaica/Hollis,2017,433105.2622,244577.0892,677,13,0.085252665,12.38496983,0.339943343,0.259327499,0.407448986,0.587400119,QN12,QN,4,12,412,Queens CD 12,407,6137.1,9.6,412,58201,75715,32,12,26,63,2837,19371,96515,12.532472,9.1,11.8,3,3.1,3.7,4.1,3.7,3.5,3.3,3.8,3,4,3.8,2.9,2.5,1.8,1.4,1,1.3,3.3,0.15,0,0.426229508,130,26000,238,0.151,0.563770795,305,0.780327869,0,0.502415459,104,0,0.15,0,0.560344828,130,37000,165,0.151,0.657223796,232,0.711206897,0,0.257142857,27,0,14.3,29.3,23.1,7146414,6751645,3839840,11223567,1014594,3237995,13227974,111559253,8663720,5472609,6624146,3938171,740,314,1380,54,120,54,499,34984,121,1228,41385,338,1200,3.3,3.1,3.8,4,3.6,2.9,2.8,3.1,2.9,3.4,3,2.5,1.7,1.1,0.9,0.5,0.5,3.5,48.9,43.5,40.8,"Hollis, Jamaica, Jamaica Center, North Springfield Gardens, Rochdale, South Jamaica, St. Albans",12.7,14.3,13.6,12.5,21,30.8,36.7,61.2,94.9,96.5,95.1,42.7,48,46.8,44.5,16.7,7.7,76,1.7,223602,225919,244302,0.01,19,19.3,19.8,4112,FALSE,NA,Schools,Senior services,Street flooding,182699928,22.8,20.2,21,4.4,7.1,4.9,12,Queens ,QN,2008,0.729166667,3424,0.586448598,Jamaica,2017,92767.07087,42819.3339,0.112985,249331,0.493692,0.57749713,0.262916188,78537,0.341,0.037970663,0.145874,0.592024,0.167103,0.0144467
QN 13 - Queens Village,2017,504440.2465,387247.0579,747,4,0.081852838,8.764906439,0.479201331,0.407142857,0.09118276,0.384109228,QN13,QN,4,13,413,Queens CD 13,291,8044.4,12.6,413,69527,60790,6,7,15,48,1698,19371,96515,8.711107,9.1,11.8,2.7,2.8,3.7,3.9,3.2,3.2,3.2,3.9,2.6,4.3,4,3.4,2.8,2.2,1.7,1.1,1.6,2.9,1.05,1847,0.483291412,1345,40000,2174,0.774,0.534780938,2783,0.781171398,2686,0.438990826,957,2583,2.41,3906,0.505129458,2068,35000,3189,0.813,0.513225523,4094,0.778944797,12284,0.461967695,1573,5053,13,29.3,23.1,6576407,5174153,1881883,29191191,1024187,2118663,19367441,146717100,4572448,12723527,6067637,4310631,533,165,663,54,40,55,240,39915,8,694,43666,167,896,2.8,3,3.4,3.7,3.3,3,2.8,2.9,2.7,3.5,3.5,3,2.2,1.9,1.2,0.6,0.6,2.7,47.2,43.5,40.8,"Bellaire, Bellerose, Brookville, Cambria Heights, Floral Park, Glen Oaks, Laurelton, New Hyde Park, Queens Village, Rosedale, Springfield Gardens",15.9,14.3,13.6,15,29.2,30.8,36.7,55.7,97.5,96.5,95.1,42,43.4,46.8,44.5,12.3,5.5,39,11.4,196284,188593,205640,-0.04,12.3,19.3,19.8,4105,FALSE,NA,Parks,Street conditions (roadway maintenance),Traffic,239725268,19.9,20.2,21,4.4,5,4.9,13,Queens ,QN,62,0.971830986,74,0.837837838,Queens Village,2017,97994.90616,62296.84184,0.0886994,208786,0.725181,0.383920506,0.025293586,62184,0.29,0.019574944,0.15662,0.53859,0.147199,0.0960649
QN 14 - Rockaway/Broad Channel,2017,529917.0267,326102.7856,125,38,0.15116325,10.82815843,0.292108363,0.267211202,0.677553316,0.816066099,QN14,QN,4,14,414,Queens CD 14,183,4494.9,7,414,20655,46240,13,6,13,35,1278,19371,96515,11.63837,9.1,11.8,3.6,3,3.3,3.3,3.8,3.3,3,3.3,3.8,3.8,3.5,2.9,2.5,2,1.5,1.1,1.2,4.4,6.68,17004,0.380553993,5413,29000,9145,2.859,0.352489282,14224,0.642927447,75307,0.530835433,11164,37889,10.59,18104,0.379674348,5503,29000,9310,2.859,0.336623546,14494,0.642334759,89752,0.519895713,12164,39681,12.6,10.9,23.1,3530262,1147932,1500087,61464189,4039974,1559057,8642714,62790795,13651774,6686196,4294281,35457061,216,58,198,115,46,56,205,11016,98,1194,14923,153,1441,3,3.1,2.8,3.4,2.6,2.9,1.8,2.9,4,3.2,3.4,3,2.1,1.3,1.1,0.8,0.7,4.5,51.2,43.5,40.8,"Arverne, Bayswater, Belle Harbor, Breezy Point, Broad Channel, Edgemere, Far Rockaway, Hammels, Neponsit, Rockaway Park, The Rockaways, Roxbury, Seaside, Somerville",14.3,14.3,13.6,3.5,27.6,30.8,36.7,35.1,96.3,96.5,95.1,26.1,44.6,46.8,44.5,24.4,2.2,85,35.1,106686,114978,123012,0.08,17.2,19.3,19.8,4114,FALSE,NA,Infrastructure resiliency,Transit (buses & subways),Unemployment,204764322,27.4,20.2,21,4.4,5.1,4.9,14,Queens ,QN,4686,0.471698113,5884,0.796397009,Rockaways,2017,107245.0155,40016.88808,0.19763,133051,0.340872,0.301449275,0.373913043,47651,0.298,0.175435866,0.0382861,0.39191,0.205718,0.330753
SI 01 - St. George/Stapleton,2017,441003.064,305211.8259,902,156,0.11905404,8.91576959,0.363050483,0.325013277,0.126802977,0.654909349,SI01,SI,5,1,501,Staten Island CD 1,353,8653.9,13.5,501,49028,64754,21,8,55,28,1609,2779,96515,9.734195,6.5,11.8,3.4,3.3,3.4,3.8,3.3,3.3,3.4,3.5,3.2,3.6,3.4,3.1,2.4,1.7,1.2,0.9,1,3.1,3.36,1525,0.366854698,1886,27000,4003,0.966,0.418648209,5141,0.778642288,2280,0.553782718,3089,3012,6.21,2602,0.370929507,2973,30000,6307,0.976,0.43673714,8015,0.786899563,4856,0.551464435,4613,4296,12.3,10.9,23.1,16476080,10807523,4480637,45156097,5944720,2950184,23490226,129428851,6739200,12874823,24340011,29480919,816,281,963,146,114,57,362,32782,65,1126,39301,403,1890,3.2,3.6,3.8,3.8,3.5,3,3.2,3.2,3.4,3.6,3.2,2.8,2.4,1.1,0.8,0.7,0.4,3.2,43.3,44,40.8,"Arlington, Castleton Corners, Clifton, Elm Park, Fox Hills, Graniteville, Grymes Hill, Howland Hook, Livingston, Mariner's Harbor, New Brighton, Old Place, Park Hill, Port Ivory, Port Richmond, Randall Manor, Rosebank, Shore Acres, Silver Lake, St. George, Stapleton, Sunnyside, Tompkinsville, Ward Hill, West Brighton, West New Brighton, Westerliegh, Willowbrook",12.7,15.1,13.6,7.6,30.3,32.1,36.7,21.5,96.6,98.3,95.1,24.1,49.8,47,44.5,29.6,3.1,65,38.2,162609,175756,173491,0.08,21.2,16.2,19.8,3903,FALSE,NA,"Land use trends (zoning, development, neighborhood preservation, etc.)",Traffic,Transit (buses & subways),312169271,23.5,22.1,21,3.2,3.3,4.9,1,Staten ,SI,1785,0.911290323,2373,0.752212389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SI 02 - South Beach/Willowbrook,2017,529917.0267,315912.0736,943,329,0.10910355,5.045339879,0.476107732,0.449871465,0.243204753,0.568644206,SI02,SI,5,2,502,Staten Island CD 2,160,13617.2,21.3,502,39870,49152,22,4,26,19,666,2779,96515,6.441562,6.5,11.8,2.8,2.9,3.4,3.2,3,3,3.6,3.7,2.9,4,3.8,3.7,2.9,2.2,1.5,1.4,1.7,2.6,8.94,7755,0.409715619,4740,37000,7969,2.652,0.631599061,11569,0.68882358,20686,0.56786486,2891,8391,17.07,10899,0.419751446,6316,34000,10409,2.702,0.630848566,15047,0.691765801,30058,0.54606968,3793,12047,13.8,10.9,23.1,20182201,9760608,2187227,111118371,1386512,2164038,49519902,129008330,3523608,10287784,37277836,80631488,735,89,365,168,26,58,196,30010,21,519,34853,158,2406,2.9,3.1,2.8,3.4,3.1,2.5,3.3,3.4,3,3.3,3.4,3.3,2.5,1.8,1.2,0.7,0.8,3,42.5,44,40.8,"Arrochar, Bloomfield, Bulls Head, Chelsea, Concord, Dongan Hills, Egbertville, Emerson Hill, Grant City, Grasmere, Heartland Village, Lighthouse Hill, Manor Heights, Midland Beach, New Dorp, New Dorp Beach, New Springville, Old Town, South Beach, Todt Hill, Travis, Willowbrook",16.9,15.1,13.6,13.9,32.7,32.1,36.7,4.1,98.9,98.3,95.1,28,45.3,47,44.5,13.7,1.9,70,66.5,127071,132003,136859,0.04,14.9,16.2,19.8,3902,FALSE,NA,Infrastructure resiliency,Schools,Traffic,457047905,21.1,22.1,21,3.2,3.2,4.9,2,Staten ,SI,377,0.944444444,390,0.966666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SI 03 - Tottenville/Great Kills,2017,519726.3146,332217.2129,1395,126,0,3.127165141,0.59315339,0.586387435,0.283780218,0.579103592,SI03,SI,5,3,503,Staten Island CD 3,165,13750.9,21.5,503,51472,60642,1,5,62,25,485,2779,96515,3.109412,6.5,11.8,3.5,2.8,3,3.1,3.2,2.8,3.8,3.9,2.3,4,4,3.3,2.9,2.4,1.6,1,1.2,2.8,6.98,3974,0.363861216,5296,44000,10039,2.451,0.774902838,14555,0.689728616,8473,0.471000637,1478,4736,14.43,5998,0.37705389,6563,40000,12249,2.566,0.763454538,17406,0.703722854,14052,0.50965717,2111,7603,7.2,10.9,23.1,16672691,13226484,2284618,83485682,3241897,3078635,23534290,191964690,890421,5507321,24313626,108002258,473,133,300,884,82,59,157,44264,4,191,50321,226,3442,3.1,2.9,3.1,3.2,2.9,3,3.6,3.5,3.4,3.8,3.4,3,2.4,2,1.3,0.8,0.5,2.6,46,44,40.8,"Annadale, Arden Heights, Bay Terrace, Butler Manor, Charleston, Eltingville, Fresh Kills, Great Kills, Greenridge, Huguenot, Oakwood, Oakwood Beach, Oakwood Heights, Pleasant Plains, Prince's Bay, Richmond Town, Richmond Valley, Rossville, Sandy Ground, Tottenville, Woodrow",16,15.1,13.6,4.7,33.4,32.1,36.7,1,99,98.3,95.1,15.6,42.2,47,44.5,9.9,1.1,60,83.4,152908,160209,165598,0.05,12.3,16.2,19.8,3901,FALSE,NA,"Land use trends (zoning, development, neighborhood preservation, etc.)",Street conditions (roadway maintenance),Traffic,476202613,21.5,22.1,21,3.2,3.2,4.9,3,Staten ,SI,37,1,43,0.860465116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN 01 - Financial District,2017,NA,2413924.917,0,1094,0,17.94089672,0.783783784,0.815718157,1,0.986067211,MN01,MN,1,1,101,Manhattan CD 1,23,976.3,1.5,101,1729,39547,7,1,28,22,1099,25961,96515,15.634252,15.7,11.8,1.1,2.4,4.2,7.3,6.6,4.7,3.5,2.9,1.8,2.2,2.3,2.5,2.3,1.7,1,0.7,1.1,2.6,1.78,678,0.284774312,2164,121000,4900,0.041,0.220593358,7599,0.644821687,16733,0.353231684,7367,19061,2.53,1036,0.284528228,2913,118000,6272,0.042,0.241981612,10238,0.612619652,29221,0.350056009,8750,28097,5.8,15.5,23.1,7865158,252207,4271043,1453796,5345624,433550,10274554,45535,1746495,185913,4107387,134060,343,78,578,25,11,1,69,33,167,65,1448,33,23,1.4,1.9,2.5,6,6.7,5.7,3.7,3.3,1.7,2.8,2.5,2.7,1.9,1.2,0.8,0.7,0.7,2.9,25.2,31.8,40.8,"Battery Park City, Civic Center, Ellis Island, Governors Island, Liberty Island, South Street Seaport, Tribeca, Wall Street, World Trade Center",12.2,15.3,13.6,15.7,82.3,60.7,36.7,2.3,95.4,94.1,95.1,23.9,31,36.9,44.5,6.4,3.2,100,72,34420,60978,NA,0.77,8.8,14.4,19.8,3810,TRUE,Manhattan CD 2,Infrastructure resiliency,Traffic,Other,36115322,12.8,14.5,21,4.2,2.8,4.9,1,Manhattan ,MN,143,0,710,0.201408451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN 02 - Greenwich Village/Soho,2017,10190712.05,3159120.736,6,351,0,25.65099538,0.790322581,0.832,1,0.995909952,MN02,MN,1,2,102,Manhattan CD 2,52,865.9,1.4,102,5360,60146,14,4,16,11,2353,25961,96515,25.876288,15.7,11.8,1.1,2.4,4.2,7.3,6.6,4.7,3.5,2.9,1.8,2.2,2.3,2.5,2.3,1.7,1,0.7,1.1,2.6,0.25,346,0.284774312,2164,121000,4900,0.001,0.220593358,7599,0.644821687,5038,0.353231684,7367,4490,0.39,777,0.284528228,2913,118000,6272,0.001,0.241981612,10238,0.612619652,10198,0.350056009,8750,7620,5.8,15.5,23.1,4350553,644242,6288962,846180,132080,347473,2232810,1025372,3485056,2420855,2731028,1191821,558,115,1703,28,17,2,174,623,442,924,4699,23,40,1.4,1.9,2.5,6,6.7,5.7,3.7,3.3,1.7,2.8,2.5,2.7,1.9,1.2,0.8,0.7,0.7,2.9,25.2,31.8,40.8,"Greenwich Village, Hudson Square, Little Italy, NoHo, SoHo, South Village, West Village",12.2,15.3,13.6,15.7,82.3,60.7,36.7,2.3,96.3,94.1,95.1,23.9,31,36.9,44.5,6.4,3.2,100,72,93119,90016,NA,-0.03,8.8,14.4,19.8,3810,TRUE,Manhattan CD 1,Parks,Schools,Senior services,25696432,12.8,14.5,21,4.2,2.8,4.9,2,Manhattan ,MN,286,0.166666667,698,0.40974212,Greenwich Village/Financial District,2017,183669.2414,128960.4038,0.0884715,148982,0.306562,0,0.014583333,87668,0.23,0.007123023,0.165389,0.0206669,0.0565169,0.722081
MN 03 - Lower East Side/Chinatown,2017,NA,1326504.606,0,208,0.23998076,14.34984719,0.566552901,0.592779177,0.85508916,0.997908736,MN03,MN,1,3,103,Manhattan CD 3,57,1076.9,1.7,103,4680,79856,34,5,39,46,2375,25961,96515,14.953955,15.7,11.8,1.5,3,3.8,6.3,4.4,3.5,2.9,3.2,1.2,2.9,3,3.5,2.8,2.2,1.7,1.4,2,1.6,0.53,495,0.155306299,360,18000,932,0.121,0.111996908,2318,0.402070751,32294,0.463410483,8169,21052,0.94,819,0.161082474,500,21000,1315,0.149,0.106890733,3104,0.423646907,47273,0.458434026,11382,27544,29.4,15.5,23.1,1262797,370317,8706820,5568872,34365,316724,3504544,95111,7995555,2696581,1562428,1577938,278,103,2024,124,6,3,277,65,254,928,4234,30,88,1.7,2.6,3.7,6.5,5.5,4.2,3,3.3,1.8,3.1,2.7,2.5,2,1.9,1.1,1,0.9,1.6,31.5,31.8,40.8,"Chinatown, East Village, Lower East Side, NoHo, Two Bridges",17,15.3,13.6,32.1,43,60.7,36.7,7.4,91,94.1,95.1,34.9,38.5,36.9,44.5,25.1,3.1,100,32.7,164407,163277,159652,-0.01,19.3,14.4,19.8,3809,FALSE,NA,Affordable housing,Senior services,Homelessness,33692052,11.7,14.5,21,4.2,4.1,4.9,3,Manhattan ,MN,5254,0.219280802,7640,0.687696335,Lower East Side/Chinatown,2017,86089.09727,36545.93156,0.272943,160490,0.116661,0,0.318367347,78557,0.313,0.026084827,0.360945,0.0651318,0.23622,0.31048
MN 04 - Clinton/Chelsea,2017,NA,1508225.384,0,723,0.03744192,23.46844884,0.673076923,0.649315068,0.943890392,0.789133247,MN04,MN,1,4,104,Manhattan CD 4,77,1131.6,1.8,104,3925,85030,25,2,23,30,2462,25961,96515,20.731942,15.7,11.8,1.1,1.7,4.4,7.4,6.1,3.7,2.8,2.5,0.9,2.5,2.8,2.6,2.2,1.9,1.4,0.7,0.9,1.7,0.57,377,0.244212099,327,105000,907,0.007,0.086037396,1339,0.677371173,2957,0.423210211,5007,10209,0.86,600,0.246236559,458,103000,1229,0.022,0.10180624,1860,0.660752688,9609,0.434896783,5962,17213,9.6,15.5,23.1,5177424,1210626,6805740,827018,32816,1122007,3839650,278552,4765298,2503410,9145958,2468769,430,126,983,21,6,4,166,161,313,961,3410,89,77,0.6,1,3.7,7,7.7,5,5.2,3.9,1.3,3.6,3.6,3,2.4,1.3,1.1,0.6,0.4,1.5,26.6,31.8,40.8,"Chelsea, Clinton, Hudson Yards",12.9,15.3,13.6,16.6,74.4,60.7,36.7,6,95.6,94.1,95.1,29.4,33.8,36.9,44.5,15.1,2.8,94,59.3,87479,103245,NA,0.18,11.3,14.4,19.8,3807,TRUE,Manhattan CD 5,Affordable housing,"Land use trends (zoning, development, neighborhood preservation, etc.)",Traffic,38177268,8.2,14.5,21,4.2,3.7,4.9,4,Manhattan ,MN,3305,0.252551224,12795,0.258304025,Chelsea/Clinton/Midtown,2017,143566.7514,96882.0804,0.137894,152455,0.235842,0,0.026075619,110677,0.255,0.019980411,0.156433,0.0682628,0.156407,0.593375
MN 05 - Midtown,2017,NA,2411481.694,0,624,0,90.27925609,0.829268293,0.682926829,1,0.635636653,MN05,MN,1,5,105,Manhattan CD 5,39,1005.4,1.6,105,3207,45268,17,7,10,15,4600,25961,96515,87.226379,15.7,11.8,1.1,1.7,4.4,7.4,6.1,3.7,2.8,2.5,0.9,2.5,2.8,2.6,2.2,1.9,1.4,0.7,0.9,1.7,0,0,0,327,NA,907,0,0,1339,0,0,0,5007,0,0,0,0,458,NA,1229,0,0,1860,0,0,0,5962,0,9.6,15.5,23.1,18157447,679097,3906443,428912,61079,279838,1842831,24484,1534501,191188,803564,283238,1565,134,730,6,8,5,112,15,187,77,2982,22,87,0.6,1,3.7,7,7.7,5,5.2,3.9,1.3,3.6,3.6,3,2.4,1.3,1.1,0.6,0.4,1.5,26.6,31.8,40.8,"Flatiron, Gramercy Park, Herald Square, Midtown, Midtown South, Murray Hill, Times Square, Union Square",12.9,15.3,13.6,16.6,74.4,60.7,36.7,6,94.4,94.1,95.1,29.4,33.8,36.9,44.5,15.1,2.8,95,59.3,44028,51673,NA,0.17,11.3,14.4,19.8,3807,TRUE,Manhattan CD 4,Traffic,Trash removal & cleanliness,Homelessness,28192622,8.2,14.5,21,4.2,3.7,4.9,5,Manhattan ,MN,1225,0.0625,2560,0.478515625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN 06 - Stuyvesant Town/Turtle Bay,2017,5095356.026,1328868.851,7,707,0.009023715,11.16676591,0.777777778,0.687179487,0.949928397,0.908681095,MN06,MN,1,6,106,Manhattan CD 6,22,888.5,1.4,106,3098,99158,43,3,18,17,1605,25961,96515,11.039954,15.7,11.8,0.8,2.1,5.2,8.8,5.6,3.5,3.3,2.6,1.1,2.9,2.8,3,3.1,2.8,1.8,1.3,1.7,1.7,0.33,160,0.193096009,358,92000,758,0.012,0.160228157,1854,0.408845739,9455,0.408417025,3416,18432,0.57,222,0.176162791,303,88000,649,0.014,0.122280677,1720,0.377325581,14084,0.441384309,4872,20058,6.1,15.5,23.1,3642409,11355,8896434,854143,52544,159738,4266342,437301,4269990,1151423,1371679,592565,318,3,947,35,2,6,208,259,417,499,2791,37,44,1.1,1.2,3.8,7.3,5.4,3.4,2.5,2.6,1.1,2.8,2.9,2.3,2.5,1.7,1.4,1.1,0.9,1.9,26.4,31.8,40.8,"Beekman Place, Gramercy Park, Murray Hill, Peter Cooper Village, Stuyvesant Town, Sutton Place, Tudor City, Turtle Bay",18.3,15.3,13.6,15.8,79.4,60.7,36.7,3.3,96.5,94.1,95.1,22.3,34.9,36.9,44.5,9,2.9,91,68.7,136152,142745,148802,0.05,9.8,14.4,19.8,3808,FALSE,NA,Affordable housing,Parks,Homelessness,25705923,8.7,14.5,21,4.2,2.4,4.9,6,Manhattan ,MN,1207,0,8826,0.136755042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN 07 - Upper West Side,2017,13247925.67,1738837.121,7,840,0.087899595,9.312046833,0.719535783,0.734615385,0.990849383,0.993337083,MN07,MN,1,7,107,Manhattan CD 7,19,1220.2,1.9,107,4749,126221,14,5,13,38,1966,25961,96515,9.673488,15.7,11.8,2.1,1.5,2.3,5,4.9,4.5,4.1,3.6,2.2,3.7,3.6,3.7,3.6,3,1.6,1.3,1.8,2.8,0.28,6,0.170514004,554,87000,1777,0.176,0.29466715,3249,0.546937519,1436,0.375219993,2132,3099,0.66,6,0.175084175,572,88000,1777,0.18,0.274192195,3267,0.543924089,1436,0.368951931,2341,3099,8.9,15.5,23.1,1465505,35212,7343273,10449053,2240,123010,4072451,854421,9703002,4372881,2992812,23467045,122,5,781,36,1,7,208,469,795,1927,4419,12,44,1.6,1.4,1.2,3.7,4.4,3.2,3.5,3.4,1.8,3.3,3.1,3,2.6,2.5,1.1,0.8,1.3,2.8,31.7,31.8,40.8,"Lincoln Square, Manhattan Valley, Upper West Side",19.6,15.3,13.6,9.4,76.6,60.7,36.7,5.6,97,94.1,95.1,23,32.8,36.9,44.5,15,2.6,100,67.3,207699,209084,195455,0.01,9.2,14.4,19.8,3806,FALSE,NA,Affordable housing,Schools,Social services,64880905,15.1,14.5,21,4.2,3.4,4.9,7,Manhattan ,MN,1999,0.166666667,4146,0.482151471,Upper West Side,2017,189348.5253,105374.0008,0.0991088,207134,0.40162,0,0.017171717,117342,0.222,0.022565299,0.0869292,0.0572818,0.13091,0.691287
MN 08 - Upper East Side,2017,7362789.457,1706944.269,20,865,0.032309309,8.798654056,0.802388708,0.779569892,0.964513315,0.686200214,MN08,MN,1,8,108,Manhattan CD 8,29,1266.3,2,108,6015,150169,38,5,23,25,1937,25961,96515,8.826581,15.7,11.8,1.6,1.1,2.1,7.4,6.8,4.5,3.3,3.2,2.4,3.3,3,3.1,3.4,2.8,2.3,1.6,1.9,2.7,0.32,178,0.279594506,855,72000,1558,0.044,0.193691411,3058,0.509483322,7223,0.473200613,5253,15606,0.63,264,0.248793566,928,73000,1912,0.044,0.214109408,3730,0.512600536,10647,0.472915092,5631,20696,5.5,15.5,23.1,1552752,131100,8598079,981476,69666,227825,5040361,2061535,13964851,3414242,988202,484015,258,21,1612,8,10,8,299,1046,953,1195,5519,41,47,1.7,1.2,1.6,3.9,4.5,4,2.8,3.1,1.7,2.8,2.4,2.4,2.3,2,1.6,1.2,1.2,3,31,31.8,40.8,"Carnegie Hill, Lenox Hill, Roosevelt Island, Upper East Side, Yorkville",20.2,15.3,13.6,9.8,81.1,60.7,36.7,2.4,97.2,94.1,95.1,23.2,33.4,36.9,44.5,9.5,2.8,95,75.6,217063,219920,222517,0.01,7.2,14.4,19.8,3805,FALSE,NA,Affordable housing,Parks,Schools,37514104,14.8,14.5,21,4.2,2.1,4.9,8,Manhattan ,MN,1020,0.365072428,1725,0.591304348,Upper East Side,2017,213619.7442,108009.3189,0.0606219,214219,0.368896,0,0,133677,0.248,0.01331427,0.1069,0.0141304,0.108095,0.746246
